props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Lyngby-Taarbæk,55.784718,12.51684,,,/adresse/fysikvej-311-2-2800-kongens-lyngby-01730263_311__2____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Adgang til badeværelse,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Centralvarme med én fyringsenhed,13.0,Adgang til fælles køkken,2.0,,Tagpap med lille hældning,Vandskyllende toilet uden for enheden,1978.0,Lyngby-Taarbæk,55.801258,12.520019,2023-01-18T00:00:00Z,Fri handel,/adresse/nymoellevej-59-1-264-2800-kongens-lyngby-01730619__59__1_264,value:|sqm:13|lastPrice:64000000|sqmPr:4923076|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,67.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,2013.0,Lyngby-Taarbæk,55.79415,12.505937,2014-01-01T00:00:00Z,Ombygningsår,/adresse/bredebovej-1-2-46-2800-kongens-lyngby-01730092___1__2__46,value:|sqm:67|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78154,12.48815,,,/adresse/skovbrynet-2e-0-17-2800-kongens-lyngby-01730722__2e_st__17,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78154,12.48815,,,/adresse/skovbrynet-2e-5-26-2800-kongens-lyngby-01730722__2e__5__26,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.79422,12.500032,,,/adresse/i.c.modewegs-vej-13-2800-kongens-lyngby-01730374__13_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.782673,12.51723,,,/adresse/oersteds-plads-341--1-2800-kongens-lyngby-01737601_341_kl____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.766285,12.507117,,,/adresse/parallelvej-2-0-2800-kongens-lyngby-01730638___2_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.768356,12.506708,,,/adresse/lyngby-hovedgade-57c-2800-kongens-lyngby-01730535_57c_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,75.0,Eget køkken med afløb,3.0,1.0,Tegl,Vandskyllende toilet i enheden,2016.0,Lyngby-Taarbæk,55.764538,12.496262,2016-01-01T00:00:00Z,Byggeår,/adresse/christian-x's-alle-95d-1-th-2800-kongens-lyngby-01730145_95d__1__th,value:|sqm:75|lastPrice:13000000|sqmPr:173333|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.7819,12.48858,,,/adresse/skovbrynet-2d-0-22-2800-kongens-lyngby-01730722__2d_st__22,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Række- og kædehus,Mursten,Varmepumpe,108.0,Eget køkken med afløb,2.0,2.0,Tegl,Vandskyllende toilet i enheden,2018.0,Lyngby-Taarbæk,55.75984,12.49761,2018-01-01T00:00:00Z,Byggeår,/adresse/kirsebaervaenget-26-2800-kongens-lyngby-01730430__26_______,value:|sqm:108|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.788734,12.465481,,,/adresse/virumvej-100-2830-virum-01730873_100_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,5.0,1.0,Metal,Vandskyllende toilet i enheden,2010.0,Lyngby-Taarbæk,55.771023,12.495907,2010-01-01T00:00:00Z,Byggeår,/adresse/baune-alle-2-4-f-2800-kongens-lyngby-01730050___2__4___f,value:1900000|sqm:87|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.786644,12.5179615,,,/adresse/kemitorvet-206-1-2800-kongens-lyngby-01734001_206__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.775272,12.516977,,,/adresse/lyngbygaardsvej-118g-2800-kongens-lyngby-01730534118g_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.795956,12.474042,2020-01-08T17:18:10.99Z,Af markedet,/adresse/skovridergaardsvej-60b-2-14-2830-virum-01730727_60b__2__14,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.76749,12.507685,,,/adresse/lyngby-hovedgade-63-4-19-2800-kongens-lyngby-01730535__63__4__19,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.7819,12.48858,,,/adresse/skovbrynet-2d-4-8-2800-kongens-lyngby-01730722__2d__4___8,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.793587,12.444284,,,/adresse/gyvelholm-11-2830-virum-01730314__11_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.768013,12.505771,2003-11-07T00:00:00Z,Fri handel,/adresse/jernbanepladsen-1-2800-kongens-lyngby-01730386___1_______,value:7000000|sqm:|lastPrice:26810000|sqmPr:undefined|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.776333,12.576166,1998-02-23T00:00:00Z,Fri handel,/adresse/dyrehavsbakken-84-2930-klampenborg-01730913__84_______,value:|sqm:|lastPrice:600000|sqmPr:undefined|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.7819,12.48858,,,/adresse/skovbrynet-2d-0-16-2800-kongens-lyngby-01730722__2d_st__16,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78218,12.488301,,,/adresse/skovbrynet-2c-0-16-2800-kongens-lyngby-01730722__2c_st__16,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.776226,12.573101,2022-08-05T00:00:00Z,Fri handel,/adresse/dyrehavsbakken-25-2930-klampenborg-01730913__25_______,value:1350000|sqm:|lastPrice:1700000|sqmPr:undefined|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78128,12.487867,,,/adresse/skovbrynet-2f-5-10-2800-kongens-lyngby-01730722__2f__5__10,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.799892,12.521704,,,/adresse/maglebjergvej-17-0-2800-kongens-lyngby-01730565__17_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78154,12.48815,,,/adresse/skovbrynet-2e-0-16-2800-kongens-lyngby-01730722__2e_st__16,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.79064,12.487304,,,/adresse/bredevej-2c--1-2830-virum-01730094__2c_kl____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.783333,12.5111475,,,/adresse/hf.-stadion-84-2800-kongens-lyngby-01738050__84_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.77276,12.498185,,,/adresse/rustenborgvej-7a-1-2800-kongens-lyngby-01730690__7a__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Række- og kædehus,Mursten,Centralvarme med én fyringsenhed,126.0,Eget køkken med afløb,2.0,2.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2019.0,Lyngby-Taarbæk,55.782658,12.482282,2021-02-01T14:50:45.917Z,Af markedet,/adresse/hummeltoftevej-56-2830-virum-01730355__56_______,value:1950000|sqm:126|lastPrice:5600000|sqmPr:44444|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.794033,12.52412,,,/adresse/lundtoftevej-162f-0-6-2800-kongens-lyngby-01730527162f_st___6,value:|sqm:|lastPrice:|sqmPr:|rooms:
