props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,København,55.66522,12.530717,2022-05-11T07:13:05.775885Z,På markedet,/adresse/fadet-61-0-th-1799-koebenhavn-v-01011699__61_st__th?udbud=155c1f6c-42eb-4504-8c3e-e8a5428955f0,pay:25000|sqmPr:61117|sqm:|floor:0|rooms:4|fees:5717|built:2025
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,120.0,Eget køkken med afløb,4.0,1.0,Fibercement uden asbest,Vandskyllende toilet i enheden,1893.0,København,55.692635,12.583337,1893-01-01T00:00:00Z,Byggeår,/adresse/stockholmsgade-57-3-th-2100-koebenhavn-oe-01016920__57__3__th,value:|sqm:120|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,67.0,Eget køkken med afløb,7.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2018.0,København,55.660168,12.515158,2018-01-01T00:00:00Z,Byggeår,/adresse/gammel-koege-landevej-20a-3-4-2500-valby-01012100_20a__3___4?leje=31633860-8492-470a-ac53-050cc41b677b,depo:36000|size:67|rooms:1|period:ubegrænset|from:2024-01-01
,Bygning til kontor,Mursten,Fjernvarme/blokvarme,,,2.0,,Tegl,,1900.0,København,55.675343,12.593714,,,/adresse/wilders-plads-9a-1403-koebenhavn-k-01018342__9a_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Række- og kædehus,Mursten,Fjernvarme/blokvarme,139.0,Eget køkken med afløb,1.0,1.0,Tegl,Vandskyllende toilet i enheden,1779.0,København,55.671597,12.603555,1779-01-01T00:00:00Z,Byggeår,/adresse/syddyssen-9a-1441-koebenhavn-k-01018812__9a_______,value:|sqm:139|lastPrice:|sqmPr:|rooms:
Hverken badeværelse eller adgang til badeværelse,Kolonihavehus,Træ,Ovn til fast og flydende brændsel,30.0,Eget køkken med afløb,1.0,,Tagpap med stor hældning,Intet vandskyllende toilet,1949.0,København,55.620605,12.580597,1949-01-01T00:00:00Z,Byggeår,/adresse/hf.-vestgraensen-119-2770-kastrup-01019468_119_______,value:150000|sqm:30|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Fjernvarme/blokvarme,88.0,Eget køkken med afløb,5.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2018.0,København,55.667564,12.5357895,2021-06-01T12:22:08.277Z,Af markedet,/adresse/constantin-hansens-gade-12-1-tv-1799-koebenhavn-v-01011185__12__1__tv,value:1950000|sqm:88|lastPrice:5200000|sqmPr:59090|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,99.0,Eget køkken med afløb,8.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2012.0,København,55.635483,12.5748415,2012-01-01T00:00:00Z,Byggeår,/adresse/c.f.-moellers-alle-2a-7-tv-2300-koebenhavn-s-01014902__2a__7__tv,value:2050000|sqm:99|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,105.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2017.0,København,55.648422,12.551451,2018-09-21T10:41:01.627Z,Af markedet,/adresse/alliancevej-6b-1-tv-2450-koebenhavn-sv-01010090__6b__1__tv,value:2750000|sqm:105|lastPrice:3925000|sqmPr:37380|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,101.0,Eget køkken med afløb,5.0,2.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1903.0,København,55.66568,12.605827,2008-06-10T00:00:00Z,Fri handel,/adresse/halgreensgade-11-2-2300-koebenhavn-s-01012532__11__2____,value:|sqm:101|lastPrice:94000000|sqmPr:930693|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,38.0,Eget køkken med afløb,18.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2020.0,København,55.655804,12.503371,2020-01-01T00:00:00Z,Byggeår,/adresse/elstarvej-24-6-10-2500-valby-01011517__24__6__10,value:920000|sqm:38|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.639244,12.575757,,,/adresse/martha-christensens-vej-2-2-2300-koebenhavn-s-01014678___2__2____,value:|sqm:|lastPrice:|sqmPr:|rooms:
