"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"","Udhus","Træ","","","","","","Tagpap med stor hældning","","1971.0","Halsnæs","56.00916","12.04533","2011-02-28T00:00:00Z","Fri handel","/adresse/kratvej-6-3300-frederiksvaerk-02600770___6_______","value:570000|sqm:|lastPrice:495000|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Fjernvarme/blokvarme","65.0","Eget køkken med afløb","1.0","1.0","Betontagsten","Vandskyllende toilet i enheden","2023.0","Halsnæs","55.969315","11.98776","","","/adresse/hanebakken-7-3300-frederiksvaerk-02601802___7_______","value:|sqm:65|lastPrice:|sqmPr:|rooms:"
"","Carport","Træ","","","","","","Tagpap med stor hældning","","1976.0","Halsnæs","56.006855","11.98814","2016-11-17T00:00:00Z","Fri handel","/adresse/moellevangsvej-1-3360-liseleje-02600978___1_______","value:1900000|sqm:|lastPrice:2050000|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Halsnæs","55.99626","11.981788","","","/adresse/praestelodsvej-24-3370-melby-02601140__24_______","value:260000|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Andet materiale","","1995.0","Halsnæs","55.975037","12.015062","","","/adresse/krudtvaerksalleen-7-3300-frederiksvaerk-02600783___7_______","value:1400000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Mursten","Varmepumpe","143.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2018.0","Halsnæs","55.94564","12.043796","2018-01-01T00:00:00Z","Byggeår","/adresse/kirkevaenget-32-3300-frederiksvaerk-02601773__32_______","value:2000000|sqm:143|lastPrice:525000|sqmPr:3671|rooms:"
"Adgang til badeværelse","Kolonihavehus","Træ","Varmepumpe","40.0","Eget køkken med afløb","1.0","","Fibercement herunder asbest","Vandskyllende toilet uden for enheden","1980.0","Halsnæs","55.962307","12.048133","1980-01-01T00:00:00Z","Byggeår","/adresse/moellehavestien-67-3300-frederiksvaerk-02600975__67_______","value:|sqm:40|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.91898","12.081239","","","/adresse/vibjerg-kalkvej-17-3310-oelsted-02601806__17_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.991688","11.903326","","","/adresse/noedebovejen-152-3390-hundested-02601038_152_______","value:350000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Mursten","Varmepumpe","145.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2015.0","Halsnæs","55.946415","12.0395565","2020-02-12T07:06:04.85Z","Af markedet","/adresse/taarnvaenget-36-3300-frederiksvaerk-02601774__36_______","value:1800000|sqm:145|lastPrice:3050000|sqmPr:21034|rooms:"
"","","","","","","","","","","","Halsnæs","55.98171","11.942875","","","/adresse/nordlys-18d-3390-hundested-02601803_18d_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.90156","12.046865","","","/adresse/rylevej-3-3310-oelsted-02601191___3_______","value:270000|sqm:|lastPrice:|sqmPr:|rooms:"
"","Carport","Træ","","","","","","Tegl","","2002.0","Halsnæs","55.96337","11.850571","","","/adresse/noerregade-28-0-3390-hundested-02601040__28_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.96591","12.060455","","","/adresse/sonnerupvej-25a-3300-frederiksvaerk-02601369_25a_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.937428","12.059539","","","/adresse/kregme-mosevej-25-3300-frederiksvaerk-02600771__25_______","value:78700|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.972958","11.994608","","","/adresse/fuglegraesvej-18-3300-frederiksvaerk-02601777__18_______","value:67900|sqm:|lastPrice:|sqmPr:|rooms:"
