props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_floor,props_pageProps_address_municipality_numberOfSchools,props_pageProps_address_municipality_population,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailPropertyClass,lastPrice
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Fjernvarme/blokvarme,134.0,Eget køkken med afløb,1.0,1.0,Tegl,Vandskyllende toilet i enheden,1923.0,Frederiksberg,55.6926,12.529788,,17.0,103608.0,1996-06-06T00:00:00Z,Fri handel,/adresse/duevej-91-2000-frederiksberg-01470178__91_______,villa,1426000
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Fjernvarme/blokvarme,131.0,Eget køkken med afløb,1.0,2.0,Tegl,Vandskyllende toilet i enheden,1922.0,Frederiksberg,55.692703,12.529879,,17.0,103608.0,2022-05-08T00:00:00Z,Fri handel,/adresse/duevej-93-2000-frederiksberg-01470178__93_______,villa,12600000
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Mursten,Centralvarme med én fyringsenhed,160.0,Eget køkken med afløb,1.0,1.0,Tegl,Vandskyllende toilet i enheden,1925.0,Frederiksberg,55.693058,12.530378,,17.0,103608.0,2004-02-29T00:00:00Z,Fri handel,/adresse/duevej-101-2000-frederiksberg-01470178_101_______,villa,3795000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69297,12.530852,0.0,17.0,103608.0,2006-03-30T00:00:00Z,Fri handel,/adresse/duevej-108b-0-th-2000-frederiksberg-01470178108b_st__th,ejerlejlighed,2300000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69297,12.530852,2.0,17.0,103608.0,2020-08-13T00:00:00Z,Fri handel,/adresse/duevej-108b-2-th-2000-frederiksberg-01470178108b__2__th,ejerlejlighed,2950000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,62.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69297,12.530852,2.0,17.0,103608.0,2019-04-23T00:00:00Z,Fri handel,/adresse/duevej-108b-2-tv-2000-frederiksberg-01470178108b__2__tv,ejerlejlighed,2480000
,,,,,,,,,,,Frederiksberg,55.69306,12.531565,0.0,17.0,103608.0,2021-12-06T00:00:00Z,Fri handel,/adresse/duevej-108c-0-2000-frederiksberg-01470178108c_st____,,852500
,,,,,,,,,,,Frederiksberg,55.69306,12.530937,1.0,17.0,103608.0,2010-12-29T00:00:00Z,Fri handel,/adresse/duevej-110-1-tv-2000-frederiksberg-01470178_110__1__tv,,827000
Hverken badeværelse eller adgang til badeværelse,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,61.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.693146,12.531011,1.0,17.0,103608.0,2019-06-28T00:00:00Z,Fri handel,/adresse/duevej-112-1-tv-2000-frederiksberg-01470178_112__1__tv,ejerlejlighed,2300000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,61.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.693146,12.531011,3.0,17.0,103608.0,1999-06-16T00:00:00Z,Fri handel,/adresse/duevej-112-3-tv-2000-frederiksberg-01470178_112__3__tv,ejerlejlighed,909040
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,125.0,Eget køkken med afløb,5.0,2.0,Tegl,Vandskyllende toilet i enheden,1958.0,Frederiksberg,55.693943,12.531191,0.0,17.0,103608.0,2020-06-09T00:00:00Z,Fri handel,/adresse/duevej-113-0-2000-frederiksberg-01470178_113_st____,ejerlejlighed,2250000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,83.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1958.0,Frederiksberg,55.693943,12.531191,3.0,17.0,103608.0,1993-04-22T00:00:00Z,Fri handel,/adresse/duevej-113-3-mf-2000-frederiksberg-01470178_113__3__mf,ejerlejlighed,521000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,97.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1958.0,Frederiksberg,55.693943,12.531191,3.0,17.0,103608.0,2016-04-25T00:00:00Z,Fri handel,/adresse/duevej-113-3-tv-2000-frederiksberg-01470178_113__3__tv,ejerlejlighed,3295000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69323,12.531104,0.0,17.0,103608.0,2003-01-30T00:00:00Z,Fri handel,/adresse/duevej-114-0-th-2000-frederiksberg-01470178_114_st__th,ejerlejlighed,1185000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69323,12.531104,1.0,17.0,103608.0,2022-06-27T00:00:00Z,Fri handel,/adresse/duevej-114-1-th-2000-frederiksberg-01470178_114__1__th,ejerlejlighed,3425000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,62.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69323,12.531104,1.0,17.0,103608.0,2023-03-05T00:00:00Z,Fri handel,/adresse/duevej-114-1-tv-2000-frederiksberg-01470178_114__1__tv,ejerlejlighed,2965000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69323,12.531104,2.0,17.0,103608.0,2021-12-13T00:00:00Z,Fri handel,/adresse/duevej-114-2-th-2000-frederiksberg-01470178_114__2__th,ejerlejlighed,3700000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69332,12.531176,1.0,17.0,103608.0,2003-07-24T00:00:00Z,Fri handel,/adresse/duevej-116-1-tv-2000-frederiksberg-01470178_116__1__tv,ejerlejlighed,1285000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69332,12.531176,2.0,17.0,103608.0,2011-08-18T00:00:00Z,Fri handel,/adresse/duevej-116-2-tv-2000-frederiksberg-01470178_116__2__tv,ejerlejlighed,1700000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69332,12.531176,3.0,17.0,103608.0,2019-05-06T00:00:00Z,Fri handel,/adresse/duevej-116-3-tv-2000-frederiksberg-01470178_116__3__tv,ejerlejlighed,2330000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,62.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.6934,12.531257,0.0,17.0,103608.0,2018-10-15T00:00:00Z,Fri handel,/adresse/duevej-118-0-th-2000-frederiksberg-01470178_118_st__th,ejerlejlighed,3380000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,62.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.6934,12.531257,3.0,17.0,103608.0,1999-08-31T00:00:00Z,Fri handel,/adresse/duevej-118-3-tv-2000-frederiksberg-01470178_118__3__tv,ejerlejlighed,854836
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,62.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.6934,12.531257,4.0,17.0,103608.0,2016-02-04T00:00:00Z,Fri handel,/adresse/duevej-118-4-th-2000-frederiksberg-01470178_118__4__th,ejerlejlighed,2050000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69349,12.53134,0.0,17.0,103608.0,1994-11-11T00:00:00Z,Fri handel,/adresse/duevej-120a-0-tv-2000-frederiksberg-01470178120a_st__tv,ejerlejlighed,455000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,65.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69349,12.53134,1.0,17.0,103608.0,2014-10-30T00:00:00Z,Fri handel,/adresse/duevej-120a-1-tv-2000-frederiksberg-01470178120a__1__tv,ejerlejlighed,1800000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,62.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,Frederiksberg,55.69349,12.53134,2.0,17.0,103608.0,2015-02-09T00:00:00Z,Fri handel,/adresse/duevej-120a-2-th-2000-frederiksberg-01470178120a__2__th,ejerlejlighed,2206000
